account_equity:6783.36|account_balance:7551.33||+|ServerCloseTime	Comment	Commission	Lots	MagicNumber	ServerOpenTime	NetProfit	Profit	Swap	Symbol	Type	HourlyDrawdown
06-05-2024 15:14:43	EA Brilliant Pro +628237476[tp]	-0.04	0.01	2021	06-05-2024 15:00:00	0.640	0.680	0.00000	EURUSD	OP_BUY	-0.00040
06-05-2024 15:20:53		-0.04	0.01	6200	06-05-2024 14:26:58	1.310	1.350	0.000	USDJPY	OP_SELL	-0.084
06-05-2024 15:25:20		-0.04	0.01	6200	06-05-2024 14:26:56	1.010	1.050	0.00000	EURUSD	OP_BUY	-0.00490
06-05-2024 15:48:19		-0.04	0.01	6200	06-05-2024 14:26:59	1.270	1.310	0.000	GBPJPY	OP_SELL	-0.573,-0.818
06-05-2024 16:00:01	Golden Raven V4.2[sl]	0.00	0.10	9032158	06-05-2024 16:00:00	-5.000	-5.000	0.00	XAUUSD	OP_SELL	-1.17
06-05-2024 16:01:13	Golden Raven V4.2	0.00	0.33	9032158	06-05-2024 16:00:02	40.260	40.260	0.00	XAUUSD	OP_SELL	-3.43
06-05-2024 16:01:13	Golden Raven V4.2	0.00	0.33	9032158	06-05-2024 16:00:03	36.630	36.630	0.00	XAUUSD	OP_SELL	-3.46
06-05-2024 16:01:13	Golden Raven V4.2	0.00	0.49	9032158	06-05-2024 16:00:11	45.080	45.080	0.00	XAUUSD	OP_SELL	-5.04
06-05-2024 16:01:14	Golden Raven V4.2	0.00	0.22	9032158	06-05-2024 16:00:02	23.100	23.100	0.00	XAUUSD	OP_SELL	-2.34
06-05-2024 16:01:14	Golden Raven V4.2	0.00	0.15	9032158	06-05-2024 16:00:01	9.450	9.450	0.00	XAUUSD	OP_SELL	-1.67
06-05-2024 16:54:55	The Gold Reaper[sl]	0.00	0.02	8012	06-05-2024 15:46:01	1.600	1.600	0.00	XAUUSD	OP_BUY	-0.15,-0.21
06-05-2024 16:54:55	The Gold Reaper[sl]	0.00	0.02	8014	06-05-2024 15:46:01	0.600	0.600	0.00	XAUUSD	OP_BUY	-0.16,-0.23
06-05-2024 16:54:55	The Gold Reaper[sl]	0.00	0.02	8009	06-05-2024 15:46:01	1.600	1.600	0.00	XAUUSD	OP_BUY	-0.15,-0.21
06-05-2024 16:55:51		-0.04	0.01	6200	06-05-2024 14:26:56	1.320	1.360	0.000	EURJPY	OP_BUY	-1.172,-1.231,-0.236
06-05-2024 16:58:56	The Gold Reaper[sl]	0.00	0.02	8015	06-05-2024 15:45:58	0.000	0.000	0.00	XAUUSD	OP_BUY	-0.14,-0.21
06-05-2024 17:00:01	Golden Raven V4.2[sl]	0.00	0.10	9032158	06-05-2024 17:00:00	-5.000	-5.000	0.00	XAUUSD	OP_SELL	-0.36
06-05-2024 17:01:13	Golden Raven V4.2	0.00	0.49	9032158	06-05-2024 17:00:05	24.010	24.010	0.00	XAUUSD	OP_SELL	-0.89
06-05-2024 17:01:13	Golden Raven V4.2	0.00	0.73	9032158	06-05-2024 17:00:07	40.150	40.150	0.00	XAUUSD	OP_SELL	-1.28
06-05-2024 17:01:14	Golden Raven V4.2	0.00	0.33	9032158	06-05-2024 17:00:03	2.310	2.310	0.00	XAUUSD	OP_SELL	-0.78
06-05-2024 17:01:14	Golden Raven V4.2	0.00	0.15	9032158	06-05-2024 17:00:01	-4.950	-4.950	0.00	XAUUSD	OP_SELL	-0.43
06-05-2024 17:01:14	Golden Raven V4.2	0.00	0.22	9032158	06-05-2024 17:00:02	-6.160	-6.160	0.00	XAUUSD	OP_SELL	-0.61
06-05-2024 17:26:00	DIAMOND PRO EUR[sl]	-0.96	0.24	77777	06-05-2024 17:00:00	1.200	2.160	0.00000	GBPUSD	OP_BUY	-0.44495
06-05-2024 17:53:30		-0.04	0.01	6200	06-05-2024 14:26:58	1.240	1.280	0.000	GBPJPY	OP_BUY	-1.602,-1.872,-0.675,-0.278
06-05-2024 18:12:18	EA Brilliant Pro +628237476[tp]	-0.04	0.01	2021	06-05-2024 15:30:01	0.630	0.670	0.00000	EURUSD	OP_SELL	-0.01006,-0.00583,-0.00185
06-05-2024 18:14:13	One Inch Slap[exp:20995]	0.00	0.01	202434345	06-05-2024 18:10:06	-2.040	-2.040	0.00	XAUUSD	OP_SELL	-0.08
